,,
,,
,,
,,
,INPUT,OUTPUT
,Amherst College,https://npc.collegeboard.org/app/amherst
,Arkansas State University,https://npc.collegeboard.org/app/astate
,Barnard College,https://npc.collegeboard.org/app/barnard
,Bates College,https://npc.collegeboard.org/app/bates
,Boston College,https://npc.collegeboard.org/app/bc
,Boston University,https://npc.collegeboard.org/app/bu
,Brown University,https://npc.collegeboard.org/app/brown
,California Institute of Technology,https://npc.collegeboard.org/app/cit
,Carnegie Mellon University,https://npc.collegeboard.org/app/cmu
,Colgate University,https://npc.collegeboard.org/app/colgate
,College of the Atlantic,https://www.coa.edu/admissions/financial-aid/
,College of the Holy Cross,https://npc.collegeboard.org/app/holycross
,Columbia College & Columbia Engineering,https://npc.collegeboard.org/app/columbia
,Columbia University-School of General Studies,https://npc.collegeboard.org/app/gscolumbia
,Cornell University,https://npc.collegeboard.org/app/cornell
,Dartmouth College,https://npc.collegeboard.org/app/dartmouth
,Drexel University,https://npc.collegeboard.org/app/drexel
,Duke University,https://npc.collegeboard.org/app/duke
,Emory University,https://npc.collegeboard.org/app/emory
,Franklin & Marshall College,https://npc.collegeboard.org/app/fandm
,Franklin W. Olin College of Engineering,https://npc.collegeboard.org/app/olin
,Georgetown University,https://npc.collegeboard.org/app/georgetown
,Harvey Mudd College,https://npc.collegeboard.org/app/hmc
,Johns Hopkins University,https://npc.collegeboard.org/app/jhu
,Lafayette College,https://npc.collegeboard.org/app/lafayette
,Massachusetts Institute of Technology,https://npc.collegeboard.org/app/mit
,New York University,https://npc.collegeboard.org/app/nyu
,North Carolina State University,https://npc.collegeboard.org/app/ncsu
,Northeastern University,https://npc.collegeboard.org/app/northeastern
,Northwestern University,https://npc.collegeboard.org/app/northwestern
,Notre Dame de Namur University,https://npc.collegeboard.org/app/notredamedenamur
,Ohio University,https://npc.collegeboard.org/app/ohio
,Otis College of Art & Design,https://npc.collegeboard.org/app/otis
,Peabody Institute of The Johns Hopkins University,https://peabody.jhu.edu/audition-apply/financial-aid-scholarships/prospective-students/
,Pomona College,https://npc.collegeboard.org/app/pomona
,Providence College,https://npc.collegeboard.org/app/providence
,Rice University,https://npc.collegeboard.org/app/rice
,Rochester Institute of Technology,https://npc.collegeboard.org/app/rit
,Rochester Institute of Technology - National Technical Institute for the Deaf,https://npc.collegeboard.org/app/ntid
,Syracuse University,https://npc.collegeboard.org/app/syr
,Texas Tech University,https://npc.collegeboard.org/app/texastech
,Tufts University,https://npc.collegeboard.org/app/tufts
,University of Florida,https://npc.collegeboard.org/app/ufl
,University of Miami,https://npc.collegeboard.org/app/miami
,University of Michigan,https://npc.collegeboard.org/app/umich
,University of North Carolina at Asheville,https://npc.collegeboard.org/app/uncashville
,University of Notre Dame,https://npc.collegeboard.org/app/nd
,University of Pennsylvania,https://npc.collegeboard.org/app/upenn
,University of Richmond,https://npc.collegeboard.org/app/richmond
,University of Rochester,https://npc.collegeboard.org/app/Rochester
,University of San Francisco,https://npc.collegeboard.org/app/usfca
,University of Virginia,https://npc.collegeboard.org/app/virginia
,Washington University in St. Louis,https://financialaid.wustl.edu/how-aid-works/cost-calculators/
